
new group "BF41"
add class "BF41melee" probability 50
add class "BF41ranged" probability 30
add class "BF41mage" probability 15
add class "BF41boss" probability 5

new group "BF42"
add class "BF42melee" probability 50
add class "BF42ranged" probability 30
add class "BF42mage" probability 15
add class "BF42boss" probability 5

new group "BF43"
add class "BF43melee" probability 50
add class "BF43ranged" probability 30
add class "BF43mage" probability 15
add class "BF43boss" probability 5

new group "BF44"
add class "BF44melee" probability 50
add class "BF44ranged" probability 30
add class "BF44mage" probability 15
add class "BF44boss" probability 5

new group "BF45"
add class "BF45melee" probability 50
add class "BF45ranged" probability 30
add class "BF45mage" probability 15
add class "BF45boss" probability 5

new group "BF46"
add class "BF46melee" probability 50
add class "BF46ranged" probability 30
add class "BF46mage" probability 15
add class "BF46boss" probability 5

new clone region "BF_Dungeon_1"
add random group probability 100
set cluster factor 3
set monster amount 100
set min distance 20
set power base "1,4"

new clone region "BF Dungeon_2"
add group "BF42" probability 100
set cluster factor 3
set monster amount 150
set min distance 20
set power base "1,4"

new clone region "BF_Dungeon_3"
add group "BF43" probability 100
set cluster factor 3
set monster amount 200
set min distance 20
set power base "1,4"

new clone region "BF_Dungeon_4"
add group "BF44" probability 100
set cluster factor 3
set monster amount 100
set min distance 20
set power base "1,4"

new clone region "BF Dungeon_5"
add group "BF45" probability 100
set cluster factor 3
set monster amount 150
set min distance 20
set power base "1,4"

new clone region "BF_Dungeon_6"
add group "BF46" probability 100
set cluster factor 3
set monster amount 200
set min distance 20
set power base "1,4"

new bf region "BF_1"
add group "BF41" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"

new bf region "BF_2"
add group "BF42" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"

new bf region "BF_3"
add group "BF43" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"

new bf region "BF_4"
add group "BF44" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"

new bf region "BF_5"
add group "BF45" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"

new bf region "BF_6"
add group "BF46" probability 100
set cluster factor 3
set monster amount 20
set min distance 20
set power base "1,4"
